,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ID=FBgn0265542,146.64271094154861,-0.27126734827138227,0.31925954587841193,-0.8496765461625156,0.39550494152180304,0.8150498025757487
ID=FBgn0265574,1755.2939510354613,0.03176474094189986,0.14404470302566202,0.2205200210398634,0.8254661815924735,0.9690309018720776
ID=FBgn0265575,486.9159531398576,0.02221941266867419,0.25675317780838164,0.08653997141666085,0.9310371826429266,0.988715925330922
ID=FBgn0265589,138.2474255706218,0.25747694300644247,0.2838716863721392,0.9070187530746029,0.3643968803994071,0.790364268176645
ID=FBgn0265590,131.40807257082102,-0.31007983206685924,0.24120275047511736,-1.2855567834780859,0.19859778740355394,0.6264170912336084
ID=FBgn0265598,3324.736433518273,0.1603298128956655,0.21025486160549056,0.7625498486522447,0.4457319035910009,0.8478138534000039
ID=FBgn0265605,888.7139700721167,0.21622859344396805,0.13833592487962035,1.5630689832169753,0.11803637014341505,0.4813282127728237
ID=FBgn0265613,1084.0029890422368,-0.04335298989221541,0.2529106471385597,-0.17141623092073313,0.8638964932332999,0.98072855686799
ID=FBgn0265623,1449.4965204999637,-0.23736645495986997,0.16291058401091807,-1.4570351975655673,0.14510666459401927,0.5392738081514808
ID=FBgn0265630,2273.3384442413894,-0.10619586090898828,0.12820160124696822,-0.828350503239129,0.4074720291972195,0.8263296282591652
ID=FBgn0265705,100.54482402903568,-0.23482143888296797,0.2763915713131863,-0.8495969604546509,0.3955492024306323,0.8150498025757487
ID=FBgn0265726,472.0095069314707,-0.10283900827384113,0.14805701349941636,-0.6945905894167352,0.4873119114298242,0.8656696416738793
ID=FBgn0265742,81.50740983695017,0.10232179075419681,0.3457074800008914,0.2959779486227286,0.7672469217660635,0.9562045581922125
ID=FBgn0265778,2188.7579380138413,-0.023508422086801394,0.14374143560511615,-0.16354659314370076,0.8700880909327967,0.9810912623783611
ID=FBgn0265784,1620.374943929482,-0.0290386876543574,0.12407804247421082,-0.23403566880411564,0.8149572877878896,0.9677938338928556
ID=FBgn0265811,200.0578558331517,0.13654904171545817,0.1681717437558196,0.8119618591439672,0.41681351729659033,0.8299031269095135
ID=FBgn0265901,237.8781246129052,-0.05159381474185722,0.15415910680141542,-0.3346789937510426,0.7378672490810309,0.948983908121302
ID=FBgn0265915,1402.7764967306618,-0.4298723540592584,0.2360186627849538,-1.8213489941298948,0.06855382327642522,0.3532042717341007
ID=FBgn0265935,2606.870534269559,0.10333066531788512,0.09630454452834003,1.0729573129072583,0.2832902692128868,0.7288116256190563
ID=FBgn0265968,616.5839560330444,-0.07346957879142808,0.17340406745135986,-0.4236900545140697,0.6717918692924192,0.9291047695971352
ID=FBgn0265974,3500.2312590892047,-0.047636276144971956,0.12911834077458073,-0.36893500845195204,0.7121761682344436,0.943687242026064
ID=FBgn0265987,172.22136159725852,0.09043516028008361,0.3116169864217023,0.290212550087691,0.7716536356038013,0.956551427416241
ID=FBgn0265991,4510.475726102844,-0.26950604057204647,0.1227816802489113,-2.195002055890469,0.028163450266538357,0.20322918031723855
ID=FBgn0265998,5759.028384544299,0.04874407931208388,0.11952597482536044,0.40781160231743707,0.6834119949428733,0.9359984356511047
ID=FBgn0266000,3959.6623554038374,-0.06937285592042909,0.1955433443021092,-0.35476971189185497,0.7227621207236057,0.9456406609846265
ID=FBgn0266005,5825.834859760633,-0.728985155339393,0.1341736028117501,-5.433148846440256,5.536818433965595e-08,2.943091939406501e-06
ID=FBgn0266019,4544.627940159035,-0.0955950436652649,0.24728156842914104,-0.3865837808799641,0.6990643671458525,0.9409097680132722
ID=FBgn0266028,148.46522783496204,0.021820973070280067,0.21459122153346571,0.10168623354836098,0.9190057295374378,0.9845960770921454
ID=FBgn0266041,165.75647702307796,-0.10662793651275759,0.218858315521168,-0.48720075478440994,0.6261160705101475,0.9175116942080456
ID=FBgn0266042,247.51888545776816,0.10157140186173953,0.20083595476805358,0.5057431174564576,0.6130369951882573,0.9130235279559917
ID=FBgn0266051,122.59184340871575,-0.11539562485157243,0.44253207396273236,-0.26076217214775355,0.7942759176577859,0.9608174620392959
ID=FBgn0266053,1683.39577041579,-0.039881511428165047,0.12484071689441739,-0.3194591670111473,0.7493783504373648,0.9522911344972596
ID=FBgn0266064,4028.156457090742,0.6306729182144433,0.10374746570554678,6.078923604788591,1.2099198240364653e-09,8.866480419249747e-08
ID=FBgn0266072,196.54572062940028,-0.20855291640717682,0.35276886804398494,-0.5911885523332899,0.5543940921576267,0.8912692188703859
ID=FBgn0266083,1634.2674115543957,-0.059009877969948464,0.10993070553924236,-0.5367915877596501,0.5914115830743893,0.9059649285026629
ID=FBgn0266084,584.802089696181,-0.29518703632849014,0.18498965984749935,-1.5956947894916647,0.11055695252497477,0.4640047160891613
ID=FBgn0266096,342.4692577872587,0.31455001411402944,0.29340261509947785,1.0720763821664698,0.2836857259789577,0.7288116256190563
ID=FBgn0266098,4870.047800502244,0.32416868414381605,0.2448234861555908,1.3240914474103993,0.18547267565840364,0.6090301028546063
ID=FBgn0266101,186.79403436698638,0.2504453451134771,0.20112658215850476,1.2452125543311074,0.2130536290358288,0.6476033700493923
ID=FBgn0266111,966.3417375885323,0.02043855734782769,0.15933160969434826,0.12827685220174284,0.8979298830177442,0.9845318317653254
ID=FBgn0266124,319.7882313009833,-0.06467931301340973,0.19352632737343942,-0.3342145427510793,0.7382176708144764,0.948983908121302
ID=FBgn0266136,1551.3603575882132,0.016749644520848195,0.1412662711025212,0.11856789586165598,0.9056177012770051,0.9845318317653254
ID=FBgn0266137,92.59016133776528,-0.07202516308126798,0.27909262161747317,-0.25806903336909537,0.7963536300636613,0.9617403519552826
ID=FBgn0266141,271.7444196349021,0.06639461241249434,0.15199476277204801,0.43682171149586724,0.662240652028879,0.9273752076959743
ID=FBgn0266166,216.04302326308357,-0.14774148457377118,0.26148423129126214,-0.5650110671844102,0.5720662365714876,0.8973088525213904
ID=FBgn0266170,262.1866860638338,0.04132374332190854,0.17868435153340087,0.23126671679575714,0.8171076019829675,0.967921354714692
ID=FBgn0266171,262.1866860638338,0.04132374332190854,0.17868435153340087,0.23126671679575714,0.8171076019829675,0.967921354714692
ID=FBgn0266172,262.1866860638338,0.04132374332190854,0.17868435153340087,0.23126671679575714,0.8171076019829675,0.967921354714692
ID=FBgn0266173,688.3210311500048,-0.013948791579820988,0.12699975869553876,-0.10983321325248298,0.9125416500162453,0.9845960770921454
ID=FBgn0266174,688.3210311500048,-0.013948791579820988,0.12699975869553876,-0.10983321325248298,0.9125416500162453,0.9845960770921454
ID=FBgn0266175,688.3210311500048,-0.013948791579820988,0.12699975869553876,-0.10983321325248298,0.9125416500162453,0.9845960770921454
ID=FBgn0266176,688.3210311500048,-0.013948791579820988,0.12699975869553876,-0.10983321325248298,0.9125416500162453,0.9845960770921454
ID=FBgn0266177,688.3210311500048,-0.013948791579820988,0.12699975869553876,-0.10983321325248298,0.9125416500162453,0.9845960770921454
ID=FBgn0266178,785.3078493978306,-0.022886767107051505,0.12623533532299733,-0.18130238295395915,0.8561302356990522,0.9774697537339521
ID=FBgn0266180,788.998244988971,-0.06364217440981847,0.1557327712231811,-0.40866269770935154,0.6827872121530332,0.935835564946234
ID=FBgn0266181,179.26303484501986,-0.10584239603190268,0.7202133739660154,-0.14695977589121673,0.8831637697145014,0.9831641277933624
ID=FBgn0266186,1063.5981152129687,0.1991042329997035,0.12824628250927286,1.5525146546474533,0.1205391289859229,0.48834003201513226
ID=FBgn0266195,628.7245463103682,-0.1481411202103786,0.14295276380344074,-1.0362942014473524,0.30006491051051964,0.7416142581969228
ID=FBgn0266196,173.09682509964162,0.3555584591160946,0.19225294273595217,1.849430516153049,0.06439567240297131,0.3408341303347182
ID=FBgn0266199,226.15592475619496,0.2604809681152862,0.3291873585296072,0.791284845441167,0.4287777897727799,0.8380323447450405
ID=FBgn0266202,170.2654993830325,0.984619462965713,0.4328389226453068,2.274794181974635,0.022918279419879888,0.17852133442853807
ID=FBgn0266212,139.06686838990595,-0.10809104981818218,0.26249201651824416,-0.41178795169440685,0.6804948530679527,0.934056219486617
ID=FBgn0266215,345.0790584443377,-0.2616926377974027,0.21172626840002257,-1.2359951354877552,0.2164603718631778,0.6530147429349584
ID=FBgn0266216,296.93159848255397,0.004658270465199324,0.16393595205133643,0.028415185363004386,0.977331012923566,0.997566148455351
ID=FBgn0266268,1854.9276945441557,0.38624469245771864,0.1290157286275792,2.993779879139113,0.0027554465862474776,0.03642401196671797
ID=FBgn0266276,1169.5903627182547,0.012326355808056728,0.24221211933635742,0.05089074750607028,0.959412578378196,0.9947624106245598
ID=FBgn0266277,7797.918375361006,-0.07137032539623708,0.13138729345489197,-0.54320568998356,0.5869881893749037,0.9050358851096446
ID=FBgn0266282,646.0981693582164,-0.2875218662786653,0.1667243358524477,-1.7245344826751887,0.08461139948124909,0.39815630481627245
ID=FBgn0266284,1029.8504553989535,0.0077553355113134615,0.1535903855188757,0.05049362618052911,0.9597290284986283,0.9948816144839774
ID=FBgn0266304,1659.914043917422,-0.2756771999322876,0.17327757099039867,-1.5909572044241258,0.1116192072482589,0.46587262929826423
ID=FBgn0266307,220.33261915606968,0.01712896208699414,0.31295513107800615,0.05473296452431269,0.9563512068223984,0.9947624106245598
ID=FBgn0266310,106.9904950541364,0.4239949694067109,0.2794524370718064,1.517234824821956,0.12920740676795842,0.5081001591866982
ID=FBgn0266311,387.025272680849,0.07856538718600585,0.2774989431912602,0.2831195905919409,0.7770851645987699,0.9583761140066889
ID=FBgn0266312,121.8955886741434,-0.09731850277139148,0.28105581587431727,-0.3462604126111037,0.7291470166847951,0.9465824019552882
ID=FBgn0266316,267.8985009298261,0.15031631906425916,0.1510741631284139,0.9949836289113806,0.3197442266770977,0.7599122336731022
ID=FBgn0266322,263.03390256015905,0.09970202416978982,0.2127952787991913,0.4685349446304009,0.6394020874045863,0.9193233819720416
ID=FBgn0266324,116.1770960731994,-0.14683402412912816,0.18325595491822072,-0.8012510381703769,0.42298632957065585,0.834474860323918
ID=FBgn0266330,1000.5873735095803,-0.3971636404376671,0.1646912071048548,-2.411565543901824,0.015884196532405623,0.13717839293661058
ID=FBgn0266347,396.19927994265606,0.3828361266769513,0.31120399283839095,1.2301774253769266,0.21863067147169513,0.6558232542319994
ID=FBgn0266348,2753.5775532602042,-0.265333189945484,0.5455645214102677,-0.48634612320391685,0.6267217826822691,0.9175116942080456
ID=FBgn0266349,106.30116934113393,0.0800398464350666,0.23674280894923605,0.33808776194857637,0.7352970526631475,0.9479115548251814
ID=FBgn0266350,17595.80576228555,0.08061878255163261,0.15036198640292417,0.5361646549121726,0.5918447588881285,0.9059649285026629
ID=FBgn0266352,207.23045891934444,-0.09929756787415554,0.19410039047222946,-0.5115784034878711,0.6089461033668244,0.9106541747476925
ID=FBgn0266359,471.62909466165854,0.010200450264556857,0.14705912621168346,0.06936291903349047,0.9447007441261441,0.9925887828653938
ID=FBgn0266369,717.5932066171408,0.23257495644935136,0.10316580081032577,2.2543803723963642,0.02417224898444583,0.18459003713787506
ID=FBgn0266376,2605.620226173735,0.2276354867799627,0.2181373460179729,1.0435420203618284,0.29669732988550657,0.7392558054723506
ID=FBgn0266377,8030.750178982135,-0.4248935283571822,0.1564285134957238,-2.7162153424720574,0.006603295231058215,0.07069145801081773
ID=FBgn0266384,99.2425208138559,-0.08989927286342592,0.29048654947598523,-0.30947826336743334,0.7569577444609056,0.9533549033762474
ID=FBgn0266388,158.05389206441848,-0.03480881773243849,0.22770266255466307,-0.15286961224742887,0.8785011001184962,0.9823292326179432
ID=FBgn0266404,655.9837168432543,0.12782586232493368,0.14337677837119855,0.8915381122178379,0.3726405546912004,0.7976009551894779
ID=FBgn0266408,191.27759775874318,-0.22274559799604465,0.27227007298266953,-0.8181053303284743,0.413297045483777,0.8276906604700314
ID=FBgn0266409,1151.3907298357508,0.11458822751435295,0.20011837645345104,0.5726022244689107,0.5669140532144892,0.8956713060113344
ID=FBgn0266410,10127.690610105314,-0.09195776242592126,0.281209673160102,-0.32700782086385294,0.7436619699391502,0.9506519612039392
ID=FBgn0266411,4077.496620396887,0.2214834105199892,0.13997019506768701,1.582361233496059,0.11356712927587168,0.4708266711225926
ID=FBgn0266413,233.70225172096752,0.16117840181560195,0.18198111866073902,0.8856874988008022,0.37578594661869413,0.8012520692310461
ID=FBgn0266417,131.50202316398108,-0.9402330434446065,0.24432797523059677,-3.8482414572347454,0.00011896876455259665,0.0027715315890216034
ID=FBgn0266418,664.7467080161781,-0.6125621793378271,0.1053374189063487,-5.815238171750075,6.054761525722098e-09,3.93977068932331e-07
ID=FBgn0266420,1455.4279808421993,0.14271092821032214,0.2576763221810326,0.5538379584215714,0.579689747907572,0.9017363263000058
ID=FBgn0266428,621.4221025583649,-0.10877794119768237,0.17163584866880877,-0.633771686051333,0.5262298337890305,0.8763640608225208
ID=FBgn0266438,419.40124350557505,-0.08637961323157595,0.17764626212126383,-0.4862450366257187,0.6267934435134697,0.9175116942080456
ID=FBgn0266439,419.40124350557505,-0.08637961323157595,0.17764626212126383,-0.4862450366257187,0.6267934435134697,0.9175116942080456
ID=FBgn0266441,735.5907978773564,0.3612783182100275,0.13148866199560366,2.7476005362508507,0.006003310070044214,0.06527836961768432
